Date,Open,High,Low,Close,Volume
2024-01-08,946.7000122070312,946.7000122070312,945.0,945.0,4
2024-01-09,931.0,944.4000244140625,931.0,944.4000244140625,9
2024-01-10,918.7999877929688,927.5,918.7999877929688,927.5,44
2024-01-11,909.0,909.0,907.2000122070312,907.2999877929688,30
2024-01-12,910.0999755859375,910.0999755859375,910.0999755859375,910.0999755859375,18
2024-01-16,895.0999755859375,896.7999877929688,893.0999755859375,895.0999755859375,3
2024-01-17,882.7999877929688,894.2000122070312,878.7999877929688,894.2000122070312,12
2024-01-18,903.2999877929688,903.2999877929688,903.2999877929688,903.2999877929688,2
2024-01-19,897.2999877929688,898.0,897.2999877929688,897.2999877929688,2
2024-01-22,894.4000244140625,894.4000244140625,894.4000244140625,894.4000244140625,12
2024-01-23,896.2000122070312,896.2000122070312,896.2000122070312,896.2000122070312,0
2024-01-24,905.5999755859375,906.7000122070312,902.0,902.0999755859375,5
2024-01-25,887.4000244140625,887.4000244140625,887.4000244140625,887.4000244140625,5
2024-01-26,911.2999877929688,911.2999877929688,911.2999877929688,911.2999877929688,0
2024-01-29,928.5999755859375,928.5999755859375,928.5999755859375,928.5999755859375,82
2024-01-30,923.2999877929688,926.0,915.7000122070312,915.7000122070312,18
2024-01-31,924.4000244140625,924.4000244140625,924.4000244140625,924.4000244140625,0
2024-02-01,914.0,914.0,914.0,914.0,0
2024-02-02,893.7999877929688,893.7999877929688,893.7999877929688,893.7999877929688,0
2024-02-05,895.9000244140625,895.9000244140625,895.9000244140625,895.9000244140625,0
2024-02-06,903.2000122070312,903.2000122070312,903.2000122070312,903.2000122070312,0
2024-02-07,879.4000244140625,879.4000244140625,879.4000244140625,879.4000244140625,0
2024-02-08,886.5999755859375,886.5999755859375,886.5999755859375,886.5999755859375,0
2024-02-09,871.4000244140625,871.4000244140625,871.4000244140625,871.4000244140625,0
2024-02-12,891.0999755859375,891.0999755859375,891.0999755859375,891.0999755859375,0
2024-02-13,872.7000122070312,872.7000122070312,872.7000122070312,872.7000122070312,0
2024-02-14,891.2000122070312,891.2000122070312,891.2000122070312,891.2000122070312,0
2024-02-15,899.0999755859375,899.0999755859375,899.0999755859375,899.0999755859375,0
2024-02-16,907.5999755859375,907.5999755859375,907.5999755859375,907.5999755859375,0
2024-02-20,909.7000122070312,909.7000122070312,909.7000122070312,909.7000122070312,4
2024-02-21,885.0,885.0,885.0,885.0,8
2024-02-22,901.7000122070312,901.7000122070312,901.7000122070312,901.7000122070312,4
2024-02-23,906.0,906.0,906.0,906.0,0
2024-02-26,876.7999877929688,876.7999877929688,876.7999877929688,876.7999877929688,0
2024-02-27,892.7999877929688,892.7999877929688,892.7999877929688,892.7999877929688,112
