Symbol,unit,lot_size,pip_size,Digits,LotSize,PipSize,VolumeInUnitsMin,VolumeInUnitsMax,VolumeInUnitsStep,Spread,TickSize,TickValue,SwapLong,SwapShort
SpotBrent,USD,100,0.01,3,100,0.01,1,5000,1,0.030000000000001137,0.001,0.001,1.11,-1.52
SpotCrude,USD,100,0.01,3,100,0.01,1,5000,1,0.020000000000003126,0.001,0.001,0.18,-0.52
NatGas,USD,10000,0.01,3,10000,0.01,100,1000000,100,0.004999999999999893,0.001,0.001,-0.57,0.52
Gasoline,USD,1000,0.001,4,1000,0.001,1000,10000000,1000,0.0029999999999998916,0.0001,0.0001,-0.36,0.11
AUS200,POINTS,1,1,1,1,1,0.1,100,0.1,2.5,0.1,0.06711500000000001,-6.05,1.05
EUSTX50,USD,1,1,1,1,1,0.1,100,0.1,1.7000000000007276,0.1,0.117695,-4.43,-0.57
FRA40,USD,1,1,1,1,1,0.1,100,0.1,2.100000000000364,0.1,0.117695,-4.43,-0.57
GER40,POINTS,1,1,1,1,1,0.1,100,0.1,2,0.1,0.117695,-4.43,-0.57
HK50,USD,1,1,1,1,1,0.1,100,0.1,6.099999999998545,0.1,0.012866618202404773,-5.79,0.79
JPN225,POINTS,100,1,1,100,1,10,10000,10,7,0.1,0.0006385410613829523,-3.23,-1.77
SPA35,USD,1,1,1,1,1,0.1,100,0.1,5,0.1,0.117695,-4.43,-0.57
UK100,POINTS,1,1,1,1,1,0.1,100,0.1,1.3999999999996362,0.1,0.134974,-6.22,1.22
US2000,POINTS,1,1,1,1,1,0.1,100,0.1,0.40000000000009095,0.1,0.1,-6.23,1.23
US500,POINTS,1,1,1,1,1,0.1,100,0.1,0.5,0.1,0.1,-6.23,1.23
NAS100,POINTS,1,1,1,1,1,0.1,100,0.1,1.5999999999985448,0.1,0.1,-6.23,1.23
US30,POINTS,1,1,1,1,1,0.1,100,0.1,2.599999999998545,0.1,0.1,-6.23,1.23
CN50,USD,1,1,1,1,1,0.1,100,0.1,10.600000000000364,0.1,0.1,-6.23,1.23
SCI25,USD,1,1,1,1,1,0.1,100,0.1,0.39999999999997726,0.1,0.07778408693149556,-4.25,-0.75
VIX,USD,1,0.1,2,1,0.1,0.1,100,0.1,0.16000000000000014,0.01,0.01,-0.64,0.6
CA60,USD,1,0.1,2,1,0.1,0.1,100,0.1,1.3599999999999,0.01,0.007311705309029225,-7.5,2.5
CHINAH,USD,1,0.1,2,1,0.1,0.1,100,0.1,26.399999999999636,0.01,0.0012866618202404772,-4.04,-0.96
NETH25,USD,1,0.1,2,1,0.1,0.1,100,0.1,0.4699999999999136,0.01,0.0117695,-4.43,-0.57
SWI20,USD,1,0.1,2,1,0.1,0.1,100,0.1,2.2000000000007276,0.01,0.012664479933131547,-2.46,-2.55
GERTEC30,POINTS,1,0.1,2,1,0.1,0.1,100,0.1,11,0.01,0.0117695,-4.43,-0.57
Sugar,USD,100,0.01,3,100,0.01,100,10000,100,0.03799999999999848,0.001,0.001,-0.55,0.45
Coffee,USD,10,0.1,2,10,0.1,10,1000,10,0.37999999999999545,0.01,0.01,1.33,-1.87
Cotton,USD,100,0.01,3,100,0.01,100,10000,100,0.14999999999999147,0.001,0.001,-1.86,0.9
Cocoa,USD,1,1,1,1,1,1,20,1,6.800000000000182,0.1,0.1,-0.73,-0.11
Wheat,USD,1,1,1,1,1,1,100,1,0.7999999999999545,0.1,0.1,-0.15,0.08
Soybeans,USD,1,1,1,1,1,1,100,1,1.2000000000000455,0.1,0.1,-0.29,0.13
LDSugar,USD,1,1,1,1,1,1,100,1,0.5,0.1,0.1,0,-0.06
Corn,USD,100,0.001,4,100,0.001,100,10000,100,0.007799999999999585,0.0001,0.0001,-1.23,0.59
Cattle,USD,1000,0.0001,5,1000,0.0001,1000,100000,1000,0.0009999999999998899,1E-05,1E-05,-1.96,-1.25
Aluminium,USD,1,0.01,3,1,0.01,1,50,1,47.20000000000027,0.001,0.001,-31.15,23.76
Nickel,USD,1,0.01,3,1,0.01,1,50,1,189.1899999999987,0.001,0.001,-249.7,207.49
Lead,USD,1,0.01,3,1,0.01,1,50,1,51.84999999999991,0.001,0.001,-57.7,49.79
Zinc,USD,1,0.01,3,1,0.01,1,50,1,50.970000000000255,0.001,0.001,-7.25,1.11
BTCUSD,PIPS,1,0.1,2,1,0.1,0.01,25,0.01,15,0.01,0.01,-13.5,0
ETHUSD,PIPS,1,0.1,2,1,0.1,0.01,25,0.01,2,0.01,0.01,-11,0
LTCUSD,PIPS,1,0.1,2,1,0.1,0.01,25,0.01,0.30999999999998806,0.01,0.01,-14,2
BCHUSD,PIPS,1,0.1,2,1,0.1,0.01,25,0.01,1.1399999999999864,0.01,0.01,-9,-3
DOTUSD,PIPS,10,0.01,3,10,0.01,1,500,1,0.029999999999999805,0.001,0.001,-3,-9
LINKUSD,USD,10,0.01,3,10,0.01,1,2500,1,0.03399999999999892,0.001,0.001,-14,2
XLMUSD,PIPS,100,0.001,4,100,0.001,10,10000,10,0.0015999999999999903,0.0001,0.0001,-9.5,-2.5
XRPUSD,PIPS,100,0.001,4,100,0.001,10,10000,1,0.0050000000000001155,0.0001,0.0001,-17.5,5.5
UNIUSD,PIPS,10,0.01,3,10,0.01,1,2500,1,0.07399999999999984,0.001,0.001,-14,2
DOGEUSD,USD,1000,0.0001,5,1000,0.0001,1,2500,1,0.0011700000000000044,1E-05,1E-05,-17,5
ADAUSD,PIPS,100,0.001,4,100,0.001,1,2500,1,0.003999999999999948,0.0001,0.0001,-12,0
BNBUSD,PIPS,1,0.1,2,1,0.1,1,2500,1,1.42999999999995,0.01,0.01,-8,-4
XTZUSD,PIPS,100,0.001,4,100,0.001,1,2500,1,0.004599999999999993,0.0001,0.0001,-14,2
MATICUSD,USD,100,0.001,4,100,0.001,1,500,1,0.006199999999999997,0.0001,0.0001,-14,2
SOLUSD,PIPS,1,0.1,2,1,0.1,1,500,1,0.4000000000000057,0.01,0.01,-9,-3
AVAXUSD,USD,10,0.01,3,10,0.01,1,500,1,0.051000000000000156,0.001,0.001,-14,2
COMPUSD,USD,1,0.01,3,1,0.01,1,500,1,0.593,0.001,0.001,-13.5,1.5
ETCUSD,PIPS,1,0.01,3,1,0.01,1,500,1,0.1039999999999992,0.001,0.001,-12,0
GLMRUSD,USD,1,0.0001,5,1,0.0001,100,20000,1,0.0025699999999999994,1E-05,1E-05,-14,2
KSMUSD,PIPS,1,0.01,3,1,0.01,1,500,1,0.2940000000000005,0.001,0.001,-12.5,0.5
BTCAUD,PIPS,1,0.1,2,1,0.1,0.01,25,0.01,264,0.01,0.0067115000000000005,-11,0
ETHAUD,PIPS,1,0.1,2,1,0.1,0.01,25,0.01,10.520000000000437,0.01,0.0067115000000000005,-8.5,0
Crypto10,USD,1,1,1,1,1,0.1,100,0.1,45,0.1,0.1,-13.5,1.5
BTCGBP,PIPS,1,0.1,2,1,0.1,0.01,25,0.01,122.30000000000291,0.01,0.0134974,-13,0
Crypto20,USD,1,1,1,1,1,0.1,100,0.1,80,0.1,0.1,-13.5,1.5
ETHGBP,PIPS,1,0.1,2,1,0.1,0.01,25,0.01,6.360000000000127,0.01,0.0134974,-10.5,0
Crypto30,USD,1,1,1,1,1,0.1,100,0.1,80,0.1,0.1,-13.5,1.5
BTCEUR,PIPS,1,0.1,2,1,0.1,0.01,25,0.01,123.39999999999418,0.01,0.0117695,-12,0
TRUMPUSD,USD,10,0.01,3,10,0.01,0.1,250,0.1,0.1200000000000001,0.001,0.001,-13,1
POLUSD,PIPS,100,0.001,4,100,0.001,0.1,250,0.1,0.0023000000000000104,0.0001,0.0001,-11,-1
SONUSD,PIPS,1000,0.0001,5,1000,0.0001,100,120000,100,0.0012999999999999956,1E-05,1E-05,-11,-1
HBARUSD,USD,1000,0.001,4,1000,0.001,100,200000,100,0.0010000000000000009,0.0001,0.0001,0.37,-3.23
SUIUSD,PIPS,100,0.01,3,100,0.01,10,10000,10,0.010999999999999899,0.001,0.001,-13.5,1.5
TONUSD,PIPS,100,0.01,3,100,0.01,10,10000,10,0.04999999999999982,0.001,0.001,-13.5,1.5
APTUSD,PIPS,100,0.01,3,100,0.01,10,10000,10,0.030000000000000027,0.001,0.001,-18.65,-10.66
HYPEUSD,USD,10,0.1,2,10,0.1,1,1000,1,0.120000000000001,0.01,0.01,-6.56,-2.96
INJUSD,PIPS,100,0.1,2,100,0.1,10,5000,1,0.11999999999999922,0.01,0.01,-20.33,-11.58
RENDERUSD,USD,100,0.01,3,100,0.01,10,10000,10,0.050000000000000044,0.001,0.001,-19.29,-11.64
FETUSD,PIPS,1000,0.001,4,1000,0.001,100,100000,100,0.0131,0.0001,0.0001,-20.59,-4
USDX,USD,100,0.01,3,100,0.01,100,10000,100,0.04999999999999716,0.001,0.001,0.13,-0.69
EURX,USD,100,1,1,100,1,100,10000,100,1,0.1,0.117695,-0.14,-0.11
JPYX,POINTS,100,1,1,100,1,100,10000,100,1,0.1,0.0006385410613829523,-0.1,-0.06
CCL.GB,USD,1,0.001,4,1,0.001,1,250,0.1,0.13000000000000256,0.0001,0.000134974,-6.47,1.47
SMDS.GB,USD,1,0.001,4,1,0.001,1,250,0.1,0.004999999999999893,0.0001,0.000134974,-6.22,1.22
BVIC.GB,USD,1,0.001,4,1,0.001,1,250,0.1,0.010000000000001563,0.0001,0.000134974,-6.22,1.22
VMUK.GB,USD,1,0.001,4,1,0.001,1,250,0.1,0.0019999999999997797,0.0001,0.000134974,-6.22,1.22
COPd.DE,EUR,1,0.1,2,1,0.1,1,250,1,0.1999999999999993,0.01,0.0117695,-4.43,-0.57
