Ticker,OriginalSymbol,Unit,LotSize,PipSize
FNTN.DE,Freenet_AG_(FNTN.DE),EUR,1,0
FRE.DE,Fresenius_(FRE.DE),EUR,1,0
FME.DE,Fresenius_Med_Care_(FME.DE),EUR,1,0
FRES.L,Fresnillo_(FRES.L),EUR,1,0
FPE.DE,Fuchs_Petrolub_SE_(FPE.DE),EUR,1,0
FUTR.L,Future_PLC_(FUTR.L),EUR,1,0
GUD.AX,G.U.D._Holdings_(GUD.AX),USD,1,0
GEM.AX,G8_Education_Ltd_(GEM.AX),USD,1,0
GAW.L,Games_Workshop_Grp_(GAW.L),EUR,1,0
GYS.L,Gamesys_Group_PLC_(GYS.L),EUR,1,0
G1A.DE,GEA_Group_AG_(G1A.DE),EUR,1,0
GXI.DE,Gerresheimer_AG_(GXI.DE),EUR,1,0
GTLB.O,Gitlab_(GTLB.O),USD,1,0
GSK.L,GlaxoSmithKline_(GSK.L),EUR,1,0
IXG.P,Glbl_Financial_ETF_(IXG.P),USD,1,0
EXI.P,Glbl_Industrials_ETF_(EXI.P),USD,1,0
FAN.P,Glbl_Wind_Energy_ETF_(FAN.P),USD,1,0
GLEN.L,Glencore_Xstrata_(GLEN.L),EUR,1,0
KRBN.P,Global_Carbon_ETF_(KRBN.P),USD,1,0
IXC.P,Global_Energy_ETF_(IXC.P),USD,1,0
WOOD.OQ,Global_Forestry_(WOOD.OQ),USD,1,0
IGF.P,Global_Infrast._ETF_(IGF.P),USD,1,0
SIL.P,Global_Silver_Miners_(SIL.P),USD,1,0
IXP.P,Global_Telecom_ETF_(IXP.P),USD,1,0
URA.P,Global_Uranium_ETF_(URA.P),USD,1,0
GDX.P,Gold_Miners_ETF_(GDX.P),USD,1,0
GOR.AX,Gold_Road_Res_Ltd_(GOR.AX),USD,1,0
GMG.AX,Goodman_Group_(GMG.AX),USD,1,0
GGPI.O,Gores_Guggenheim_(GGPI.O),USD,1,0
GPT.AX,GPT_Group_(GPT.AX),USD,1,0
GFTU.L,Grafton_Group_PLC_(GFTU.L),EUR,1,0
GNC.AX,GrainCorp_Ltd_(GNC.AX),USD,1,0
GRI.L,Grainger_PLC_(GRI.L),EUR,1,0
GYCD.DE,Grand_City_Prop._(GYCD.DE),EUR,1,0
GPOR.L,Great_Portland_Ests_(GPOR.L),EUR,1,0
UKW.L,Greencoat_UK_Wind__(UKW.L),POINTS,1,0
GRG.L,Greggs_PLC_(GRG.L),EUR,1,0
GLJ.DE,Grenke_AG_(GLJ.DE),EUR,1,0
GOZ.AX,Growthpoint_Prop._(GOZ.AX),USD,1,0
GWA.AX,GWA_Group_Ltd_(GWA.AX),USD,1,0
HLMA.L,Halma_(HLMA.L),EUR,1,0
HNR1.DE,Hannover_RE_AG_(HNR1.DE),EUR,1,0
HVPE.L,HarbourVest_Glbl_PE_(HVPE.L),EUR,1,0
HL.L,Hargreaves_Lansdown_(HL.L),EUR,1,0
HVN.AX,Harvey_Norman_(HVN.AX),USD,1,0
HAS.L,Hays_PLC_(HAS.L),EUR,1,0
HLS.AX,Healius_(HLS.AX),USD,1,0
HEI.DE,HeidelbergCement_(HEI.DE),EUR,1,0
HLED.DE,HELLA_GmbH_&_Co._(HLED.DE),EUR,1,0
HFG.DE,HelloFresh_SE_(HFG.DE),EUR,1,0
HNK.DE,Henkel_AG_&_Co_(HNK.DE),EUR,1,0
HIK.L,Hikma_Pharma_(HIK.L),EUR,1,0
HOT.DE,Hochtief_AG_(HOT.DE),EUR,1,0
XHB.P,Homebuilders_ETF_(XHB.P),USD,1,0
HSV.L,HomeServe_PLC_(HSV.L),EUR,1,0
HWDN.L,Howden_Joinery_Grp_(HWDN.L),EUR,1,0
HSBA.L,HSBC_(HSBA.L),EUR,1,0
HUB.AX,HUB24_Ltd_(HUB.AX),USD,1,0
BOSS.DE,Hugo_Boss_AG_(BOSS.DE),EUR,1,0
IEL.AX,Idp_Education_Ltd_(IEL.AX),USD,1,0
